,LEVEL_REGION,GOLD_CUP_LEVEL_REGION,GAME_TYPE,TEAM,MP,WIN,LOSS,DRAW,TEAM_SCORE,OPPONENT_SCORE,GOAL_DIFF,POINTS
0,Bronze-North  Region 5,U10 Girls Bronze-Group H,FALL_LEAGUE,Rohnert Park Soccer Club RP Aftershocks,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0
1,Bronze-North  Region 5,U10 Girls Bronze-Group H,FALL_LEAGUE,Santa Rosa South YSC Santa Rosa South Tigers,3.0,0.0,1.0,2.0,6.0,9.0,-3.0,2.0
2,Bronze-North  Region 5,U10 Girls Gold/Silver-Group I,FALL_LEAGUE,Santa Rosa Empire Soccer Club Santa Rosa Empire SC 15G Surge,3.0,3.0,0.0,0.0,8.0,2.0,6.0,9.0
3,Bronze-North  Region 5,U10 Girls Gold/Silver-Group J,FALL_LEAGUE,Napa United Napa United Pre-Academy 15G Elite,2.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0
4,Bronze-North  Region 5,U10 Girls Gold/Silver-Group J,FALL_LEAGUE,Sonoma County Premier Sonoma County Premier 2015 Girls,3.0,0.0,2.0,1.0,3.0,7.0,-4.0,1.0
5,Bronze-North  Region 5,no state cup,FALL_LEAGUE,Black Oaks Youth Soccer Club Black Oaks Little Lady Oaks 2015G,2.0,0.0,1.0,1.0,3.0,6.0,-3.0,1.0
6,Bronze-North  Region 5,no state cup,FALL_LEAGUE,WESCO United WESCO 15G,2.0,1.0,1.0,0.0,5.0,3.0,2.0,3.0
7,Bronze-Region 1  North,U10 Girls Gold/Silver-Group I,FALL_LEAGUE,SF Elite SFEA 2015G Blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Bronze-Region 1  North,no state cup,FALL_LEAGUE,Belmont United Soccer Club Belmont United 15G Wave FC Black,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0
9,Bronze-Region 1  North,no state cup,FALL_LEAGUE,Dnamo FC Dnamo FC Lazio,1.0,0.0,1.0,0.0,1.0,5.0,-4.0,0.0
10,Bronze-Region 1  North,no state cup,FALL_LEAGUE,Girls Unite Girls Unite 2015G Believe Gray,1.0,1.0,0.0,0.0,5.0,1.0,4.0,3.0
