,GAME_ID,DATE,TEAM_ONE,SCORE,TEAM_TWO,LOCATION,GAME_TYPE,DATETIME,TEAM_ONE_SCORE,TEAM_TWO_SCORE
0,16745,"Aug 17, 2024
10:00 AM PDT",OV Toros FC OV Toros FC 2015G White,0 - 9,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,Morgan Hill Outdoor Sports Complex (No Dogs)  - U1 (7 v 7),FALL_LEAGUE,2024-08-17,0.0,9.0
1,16748,"Aug 18, 2024",Los Gatos United Soccer Club 2015G II,1 - 3,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Daves Avenue Elementary,FALL_LEAGUE,2024-08-18,1.0,3.0
2,16733,"Aug 24, 2024
8:00 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,4 - 1,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,PSG-Hester Elementary school - Full Turf,FALL_LEAGUE,2024-08-24,4.0,1.0
3,16734,"Aug 24, 2024
1:30 PM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,1 - 4,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Branciforte Middle School - B40 field 1,FALL_LEAGUE,2024-08-24,1.0,4.0
4,16735,"Aug 24, 2024
2:00 PM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,1 - 4,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Hollister Tremors (No Dogs on Fields) - Field 4,FALL_LEAGUE,2024-08-24,1.0,4.0
5,16732,"Aug 24, 2024
2:30 PM PDT",Almaden FC Almaden FC Quicksilver 15G White,1 - 2,OV Toros FC OV Toros FC 2015G White,Pioneer High School (PINR) - Pioneer High School 1A,FALL_LEAGUE,2024-08-24,1.0,2.0
6,16736,"Aug 24, 2024
4:30 PM PDT",Allstars United 15G White,2 - 1,Los Gatos United Soccer Club 2015G II,Congress Springs Park - 7v7 #2,FALL_LEAGUE,2024-08-24,2.0,1.0
7,16739,"Sep 07, 2024
10:15 AM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,2 - 7,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Chartwell School - Chartwell School,FALL_LEAGUE,2024-09-07,2.0,7.0
8,16738,"Sep 07, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,6 - 0,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,PSG-Watson Park Soccer Field - Field B (TURF),FALL_LEAGUE,2024-09-07,6.0,0.0
9,16741,"Sep 07, 2024
12:30 PM PDT",OV Toros FC OV Toros FC 2015G White,2 - 5,Allstars United 15G White,Kirigin Cellars (Parking entrance is on Day Rd) - Syrah (7 v 7),FALL_LEAGUE,2024-09-07,2.0,5.0
10,16737,"Sep 07, 2024
1:50 PM PDT",Los Gatos United Soccer Club 2015G II,0 - 1,Hollister Tremors Hollister Tremors 2015G Dragons,Daves Avenue Elementary - 7v7 - Field B,FALL_LEAGUE,2024-09-07,0.0,1.0
11,16743,"Sep 14, 2024
8:00 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,PSG-Hester Elementary school - Full Turf,FALL_LEAGUE,2024-09-14,,
12,16744,"Sep 14, 2024
10:15 AM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,Los Gatos United Soccer Club 2015G II,Branciforte Middle School - B40 field 1,FALL_LEAGUE,2024-09-14,,
13,16746,"Sep 14, 2024
12:00 PM PDT",Allstars United 15G White,4 - 1,Hollister Tremors Hollister Tremors 2015G Dragons,Congress Springs Park - 7v7 #3,FALL_LEAGUE,2024-09-14,4.0,1.0
14,16749,"Sep 21, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,Almaden FC Almaden FC Quicksilver 15G White,PSG-Watson Park Soccer Field - Field A (TURF),FALL_LEAGUE,2024-09-21,,
15,16747,"Sep 21, 2024
12:45 PM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Hollister Tremors (No Dogs on Fields) - Field 4,FALL_LEAGUE,2024-09-21,,
16,16751,"Sep 21, 2024
2:45 PM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Allstars United 15G White,Piedmont Hills High School - Athletic Field #1,FALL_LEAGUE,2024-09-21,,
17,16750,"Sep 22, 2024
9:30 AM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,OV Toros FC OV Toros FC 2015G White,All Saints Day School - All Saints Day School 7v7,FALL_LEAGUE,2024-09-22,,
18,16753,"Oct 05, 2024
9:30 AM PDT",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Hollister Tremors Hollister Tremors 2015G Dragons,PSG-Hester Elementary school - Full Turf,FALL_LEAGUE,2024-10-05,,
19,16754,"Oct 05, 2024
11:45 AM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Piedmont Hills High School - Athletic Field #1,FALL_LEAGUE,2024-10-05,,
20,16756,"Oct 05, 2024
3:30 PM PDT",Allstars United 15G White,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Congress Springs Park - 7v7 #1,FALL_LEAGUE,2024-10-05,,
21,16752,"Oct 05, 2024
3:45 PM PDT",Almaden FC Almaden FC Quicksilver 15G White,-,Los Gatos United Soccer Club 2015G II,Pioneer High School (PINR) - Pioneer High School 1B,FALL_LEAGUE,2024-10-05,,
22,16755,"Oct 06, 2024
9:00 AM PDT",OV Toros FC OV Toros FC 2015G White,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Morgan Hill Outdoor Sports Complex (No Dogs)  - 3A (7 v 7),FALL_LEAGUE,2024-10-06,,
23,16758,"Oct 12, 2024
9:00 AM PDT",Hollister Tremors Hollister Tremors 2015G Dragons,-,Almaden FC Almaden FC Quicksilver 15G White,Hollister Tremors (No Dogs on Fields) - Field 4,FALL_LEAGUE,2024-10-12,,
24,16757,"Oct 12, 2024
9:00 AM PDT",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Branciforte Middle School - B40 field 1,FALL_LEAGUE,2024-10-12,,
25,16760,"Oct 12, 2024
12:00 PM PDT",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,PSG-Watson Park Soccer Field - Field B (TURF),FALL_LEAGUE,2024-10-12,,
26,16759,"Oct 12, 2024
4:10 PM PDT",Los Gatos United Soccer Club 2015G II,-,OV Toros FC OV Toros FC 2015G White,Daves Avenue Elementary - 7v7 - Field B,FALL_LEAGUE,2024-10-12,,
27,16740,"Oct 13, 2024
9:00 AM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Almaden FC Almaden FC Quicksilver 15G White,Piedmont Hills High School - Athletic Field #1,FALL_LEAGUE,2024-10-13,,
28,16765,"Oct 13, 2024
9:30 AM PDT",OV Toros FC OV Toros FC 2015G White,-,Hollister Tremors Hollister Tremors 2015G Dragons,Kirigin Cellars (Parking entrance is on Day Rd) - Chardonnay (7 v 7),FALL_LEAGUE,2024-10-13,,
29,16761,"Oct 13, 2024
12:20 PM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Allstars United 15G White,All Saints Day School - All Saints Day School 7v7,FALL_LEAGUE,2024-10-13,,
30,16766,"Oct 19, 2024
11:00 AM PDT",Allstars United 15G White,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Congress Springs Park - 7v7 #3,FALL_LEAGUE,2024-10-19,,
31,16764,"Oct 19, 2024
12:55 PM PDT",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Los Gatos United Soccer Club 2015G II,Piedmont Hills High School - Athletic Field #1,FALL_LEAGUE,2024-10-19,,
32,16763,"Oct 19, 2024
1:30 PM PDT",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,Chartwell School - Chartwell School,FALL_LEAGUE,2024-10-19,,
33,16762,"Oct 20, 2024
10:30 AM PDT",Almaden FC Almaden FC Quicksilver 15G White,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Pioneer High School (PINR) - Pioneer High School 1A,FALL_LEAGUE,2024-10-20,,
34,16774,"Nov 03, 2024
10:30 AM PST",North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,-,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,Piedmont Hills High School - Athletic Field #1,FALL_LEAGUE,2024-11-03,,
35,16776,"Nov 10, 2024
2:30 PM PST",Allstars United 15G White,-,Almaden FC Almaden FC Quicksilver 15G White,Congress Springs Park - 7v7 #1,FALL_LEAGUE,2024-11-10,,
36,16767,"Nov 16, 2024
9:30 AM PST",Alum Rock Fútbol Club AR - Cheetahs- 2015G,-,Almaden FC Almaden FC Quicksilver 15G White,PSG-Hester Elementary school - Full Turf,FALL_LEAGUE,2024-11-16,,
37,16771,"Nov 16, 2024
1:00 PM PST",Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,-,Allstars United 15G White,PSG-Watson Park Soccer Field - Field A (TURF),FALL_LEAGUE,2024-11-16,,
38,16770,"Nov 16, 2024
1:50 PM PST",Los Gatos United Soccer Club 2015G II,-,Monterey Surf Soccer Club Monterey Surf 15G Academy I,Daves Avenue Elementary - 7v7 - Field A,FALL_LEAGUE,2024-11-16,,
39,16769,"Nov 16, 2024
2:00 PM PST",Hollister Tremors Hollister Tremors 2015G Dragons,-,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,Hollister Tremors (No Dogs on Fields) - Field 4,FALL_LEAGUE,2024-11-16,,
40,16768,"Nov 17, 2024
9:30 AM PST",Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,-,OV Toros FC OV Toros FC 2015G White,Depot Park - Depot Park North,FALL_LEAGUE,2024-11-17,,
41,16775,"Nov 23, 2024
9:00 AM PST",OV Toros FC OV Toros FC 2015G White,-,Alum Rock Fútbol Club AR - Cheetahs- 2015G,Morgan Hill Outdoor Sports Complex (No Dogs)  - 3A (7 v 7),FALL_LEAGUE,2024-11-23,,
42,16773,"Nov 23, 2024
9:30 AM PST",Monterey Surf Soccer Club Monterey Surf 15G Academy I,-,Hollister Tremors Hollister Tremors 2015G Dragons,All Saints Day School - All Saints Day School 7v7,FALL_LEAGUE,2024-11-23,,
