,GAME_ID,DATE,TEAM,TEAM_SCORE,OPPONENT,OPPONENT_SCORE,LOCATION,GAME_TYPE,HOME_AWAY,WIN,LOSS,DRAW,GOAL_DIFF,GAME_SCORE,TEAM_STATE_CUP_GROUP,TEAM_STATE_CUP_TIER,TEAM_GSB_LEVEL,TEAM_REGION,OPPONENT_STATE_CUP_GROUP,OPPONENT_STATE_CUP_TIER,OPPONENT_TEAM_GSB_LEVEL,OPPONENT_REGION,LEVEL_REGION,GOLD_CUP_LEVEL_REGION
0,16745,2024-08-17,OV Toros FC OV Toros FC 2015G White,0.0,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,9.0,Morgan Hill Outdoor Sports Complex (No Dogs)  - U1 (7 v 7),FALL_LEAGUE,Home,,1.0,,-9.0,0-9,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
1,16748,2024-08-18,Los Gatos United Soccer Club 2015G II,1.0,Alum Rock Fútbol Club AR - Cheetahs- 2015G,3.0,Daves Avenue Elementary,FALL_LEAGUE,Home,,1.0,,-2.0,1-3,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
2,16733,2024-08-24,Alum Rock Fútbol Club AR - Cheetahs- 2015G,4.0,North Valley Youth Soccer League NV/SJ United 15G Green Ladybugs,1.0,PSG-Hester Elementary school - Full Turf,FALL_LEAGUE,Home,1.0,,,3.0,4-1,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
3,16734,2024-08-24,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,1.0,Monterey Surf Soccer Club Monterey Surf 15G Academy I,4.0,Branciforte Middle School - B40 field 1,FALL_LEAGUE,Home,,1.0,,-3.0,1-4,,,Bronze,Region 2,Group K,U10 Girls Bronze,Bronze,Region 2,Bronze-Region 2,
4,16735,2024-08-24,Hollister Tremors Hollister Tremors 2015G Dragons,1.0,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,4.0,Hollister Tremors (No Dogs on Fields) - Field 4,FALL_LEAGUE,Home,,1.0,,-3.0,1-4,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
5,16732,2024-08-24,Almaden FC Almaden FC Quicksilver 15G White,1.0,OV Toros FC OV Toros FC 2015G White,2.0,Pioneer High School (PINR) - Pioneer High School 1A,FALL_LEAGUE,Home,,1.0,,-1.0,1-2,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
6,16736,2024-08-24,Allstars United 15G White,2.0,Los Gatos United Soccer Club 2015G II,1.0,Congress Springs Park - 7v7 #2,FALL_LEAGUE,Home,1.0,,,1.0,2-1,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
7,16739,2024-09-07,Monterey Surf Soccer Club Monterey Surf 15G Academy I,2.0,Alum Rock Fútbol Club AR - Cheetahs- 2015G,7.0,Chartwell School - Chartwell School,FALL_LEAGUE,Home,,1.0,,-5.0,2-7,Group K,U10 Girls Bronze,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,U10 Girls Bronze-Group K
8,16738,2024-09-07,Lobitos Soccer Club Lobitos S.C.- Lady Tiburones FC,6.0,Santa Cruz City Soccer Club SANTA CRUZ JAWS 15 BLUE,0.0,PSG-Watson Park Soccer Field - Field B (TURF),FALL_LEAGUE,Home,1.0,,,6.0,6-0,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
9,16741,2024-09-07,OV Toros FC OV Toros FC 2015G White,2.0,Allstars United 15G White,5.0,Kirigin Cellars (Parking entrance is on Day Rd) - Syrah (7 v 7),FALL_LEAGUE,Home,,1.0,,-3.0,2-5,,,Bronze,Region 2,,,Bronze,Region 2,Bronze-Region 2,
